species,genus,family
Achillea millefolium,Achillea,Compositae
Agrostis gigantea,Agrostis ,Poaceae
Anagallis arvensis,Anagallis ,Primulaceae
Anchusa arvensis,Anchusa ,Boraginaceae
Apera spica-venti,Apera,Poaceae
Aphanes australis,Aphanes ,Rosaceae
Arabidopsis thaliana,Arabidopsis,Brassicaceae
Arenaria leptoclados,Arenaria ,Caryophyllaceae
Arenaria serpyllifolia,Arenaria ,Caryophyllaceae
Arrhenatherum elatius,Arrhenatherum ,Poaceae
Artemisia vulgaris,Artemisia ,Compositae
Bromus hordeaceus,Bromus ,Poaceae
Bromus sterilis,Bromus ,Poaceae
Capsella bursa-pastoris,Capsella,Brassicaceae
Castanea sativa,Castanea,Fagaceae
Cerastium fontanum,Cerastium ,Caryophyllaceae
Cerastium glomeratum,Cerastium ,Caryophyllaceae
Chenopodium album,Chenopodium,Amaranthaceae
Cirsium arvense,Cirsium,Compositae
Convolvulus arvensis,Convolvulus,Convolvulaceae
Erigeron canadensis,Erigeron,Compositae
Crepis capillaris,Crepis,Compositae
Dactylis glomerata,Dactylis,Poaceae
Elymus repens,Elymus ,Poaceae
Epilobium ciliatum,Epilobium,Onagraceae
Epilobium montanum,Epilobium,Onagraceae
Erodium cicutarium,Erodium,Geraniaceae
Euphorbia helioscopia,Euphorbia,Euphorbiaceae
Fallopia convolvulus,Fallopia,Polygonaceae
Festuca rubra,Festuca,Poaceae
Galinsoga parviflora,Galinsoga,Compositae
Geranium molle,Geranium,Geraniaceae
Heracleum sphondylium,Heracleum,Apiaceae
Holcus lanatus,Holcus ,Poaceae
Holcus mollis,Holcus ,Poaceae
Hypericum perforatum,Hypericum,Hypericaceae
Hypochaeris radicata,Hypochaeris,Asteraceae
Jacobaea vulgaris,Jacobaea,Compositae
Lactuca serriola,Lactuca ,Compositae
Lamium amplexicaule,Lamium,Lamiaceae
Lapsana communis,Lapsana,Compositae
Lolium perenne,Lolium,Poaceae
Matricaria chamomilla,Matricaria,Compositae
Medicago lupulina,Medicago ,Leguminosae
Myosotis arvensis,Myosotis,Boraginaceae
Panicum miliaceum,Panicum,Poaceae
Papaver dubium,Papaver ,Papaveraceae
Papaver rhoeas,Papaver ,Papaveraceae
Persicaria lapathifolia,Persicaria,Polygonaceae
Persicaria maculosa,Persicaria ,Polygonaceae
Phleum bertolonii,Phleum,Poaceae
Plantago lanceolata,Plantago,Plantaginaceae
Polygonum aviculare,Polygonum,Polygonaceae
Prunus spinosa,Prunus,Rosaceae
Quercus robur,Quercus ,Fagaceae
Ranunculus repens,Ranunculus ,Ranunculaceae
Raphanus raphanistrum,Raphanus ,Brassicaceae
Rumex acetosa,Rumex,Polygonaceae
Rumex acetosella,Rumex,Polygonaceae
Rumex crispus,Rumex ,Polygonaceae
Rumex obtusifolius,Rumex,Polygonaceae
Sisymbrium officinale,Sisymbrium,Brassicaceae
Sonchus asper,Sonchus,Compositae
Sonchus oleraceus,Sonchus,Compositae
Spergula arvensis,Spergula,Caryophyllaceae
Stellaria graminea,Stellaria,Caryophyllaceae
Trifolium dubium,Trifolium,Leguminosae
Trifolium repens,Trifolium,Leguminosae
Tripleurospermum inodorum,Tripleurospermum ,Compositae
Veronica arvensis ,Veronica ,Plantaginaceae
Veronica chamaedrys,Veronica ,Plantaginaceae
Veronica persica,Veronica ,Plantaginaceae
Vicia cracca,Vicia,Leguminosae
Vicia hirsuta,Vicia ,Leguminosae
Vicia sativa,Vicia ,Leguminosae
Vicia tetrasperma,Vicia,Leguminosae
Viola arvensis,Viola,Violaceae
Vulpia bromoides,Vulpia,Poaceae
Vulpia myuros,Vulpia,Poaceae
