"","site","year","date","block","plot","month","collectors","Achillea_millefolium","Agrostis_gigantea","Anagallis_arvensis","Anchusa_arvensis","Apera_spica-venti","Aphanes_australis","Arabidopsis_thaliana","Arenaria_serpyllifolia","Arrhenatherum_elatius","Artemisia_vulgaris","Bromus_hordeaceus","Bromus_sterilis","Capsella_bursa-pastoris","Castanea_sativa","Cerastium_fontanum","Cerastium_glomeratum","Chenopodium_album","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Elymus_repens","Epilobium_ciliatum","Epilobium_montanum","Erigeron_canadensis","Erodium_cicutarium","Euphorbia_helioscopia","Fallopia_convolvulus","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Heracleum_sphondylium","Holcus_lanatus","Holcus_mollis","Hypericum_perforatum","Hypochaeris_radicata","Jacobaea_vulgaris","Lactuca_serriola","Lamium_amplexicaule","Lapsana_communis","Lolium_perenne","Matricaria_chamomilla","Medicago_lupulina","Myosotis_arvensis","Panicum_miliaceum","Papaver_dubium","Papaver_rhoeas","Persicaria_lapathifolia","Persicaria_maculosa","Phleum_bertolonii","Plantago_lanceolata","Polygonum_aviculare","Prunus_spinosa","Quercus_robur","Ranunculus_repens","Raphanus_raphanistrum","Rumex_acetosa","Rumex_acetosella","Rumex_crispus","Rumex_obtusifolius","Sisymbrium_officinale","Sonchus_asper","Sonchus_oleraceus","Spergula_arvensis","Stellaria_graminea","Trifolium_dubium","Trifolium_repens","Tripleurospermum_inodorum","Veronica_arvensis_","Veronica_chamaedrys","Veronica_persica","Vicia_cracca","Vicia_hirsuta","Vicia_sativa","Vicia_tetrasperma","Viola_arvensis","Vulpia_bromoides","Vulpia_myuros"
"1","Pound Hill Disturbance ",2016,"Jul-16","a",1,"october","M_Crawley",1,5,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,0,2,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,85,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,5
"2","Pound Hill Disturbance ",2016,"Jul-16","a",2,"may","M_Crawley",0,10,1,1,0,0,0,0,0,2,5,40,0,0,0,0,2,1,0,2,0,0,0,0,0,40,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,1,0,35,0,0,0,0,0,0,5,0,1,0,0,0,0,0
"3","Pound Hill Disturbance ",2016,"Jul-16","a",3,"march","M_Crawley",2,15,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,35,0,1,0.1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"4","Pound Hill Disturbance ",2016,"Jul-16","b",4,"may","M_Crawley",0,5,2,1,0,0,0,0,0,1,1,55,0,0,0,0,0.1,0.1,0,4,0,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0.1,0,25,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0
"5","Pound Hill Disturbance ",2016,"Jul-16","b",5,"march","M_Crawley",5,25,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1,0,2,0,0,0,0,0,40,0,0.1,0,0,0,0,0,0,40,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0.1,0,0,5,0,0,0,0,0,0,0
"6","Pound Hill Disturbance ",2016,"Jul-16","b",6,"october","M_Crawley",1,15,0.1,0,0.1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,25
"7","Pound Hill Disturbance ",2016,"Jul-16","c",7,"march","M_Crawley",8,10,0.1,35,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,1,0,1,0,0,0,0,0,35,0,0.1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0.1,8,0,0,1,0,2,0,0,0,0.1,0,0,0.1,0,1,0,0,2,0,0
"8","Pound Hill Disturbance ",2016,"Jul-16","c",8,"october","M_Crawley",0.1,20,0.2,0.1,5,2,0,0,0,0.2,1,0,0,0,0,0,0,0,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,20
"9","Pound Hill Disturbance ",2016,"Jul-16","c",9,"may","M_Crawley",0.1,5,2,2,0,0,0,0,0,0.1,0.1,65,0,0,0,0,1,0.1,0,1,0,0,0,0,0,25,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.3,0,0,0.1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Pound Hill Disturbance ",2016,"Jul-16","d",10,"march","M_Crawley",10,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0.1,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,10,0,0,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0
