"","seedmass","longevity","germination_rate","temperature","seedbank_duration"
"Achillea_millefolium",-0.157164896608577,-0.212760480886605,0.523577326929262,-0.154557833597238,-0.104428004113583
"Agrostis_gigantea",-0.157287638516559,-0.389096961503281,0.523577326929262,0.477795536348829,-1.76992066251402
"Anagallis_arvensis",-0.15674598810482,0.796189433335195,-0.114410679980582,-0.664520228715041,0.611710346970653
"Anchusa_arvensis",-0.150476876408014,-0.420688187672392,0.523577326929262,-0.378941287449073,-0.159565175673859
"Apera_spica-venti",-0.157245865625132,-0.269433226014223,0.523577326929262,-1.29687359866111,0.0658845924837643
"Aphanes_australis",-0.15695707643655,NA,-0.147988996133731,-2.33039738609984,-0.159565175673859
"Arabidopsis_thaliana",-0.157358491671079,-0.153598730060815,-0.981341751570991,-0.521730758082057,-0.250147671808627
"Arenaria_leptoclados",-0.157327172968175,-0.34601801672722,NA,NA,-0.159565175673859
"Arenaria_serpyllifolia",-0.157304254828367,-0.0607396713213061,0.259651761965505,-0.735914964031533,0.760468804675253
"Arrhenatherum_elatius",-0.15357011480096,-0.43470320437287,0.20458332347434,-0.378941287449073,-0.217208582305082
"Artemisia_vulgaris",-0.157201496788414,-0.372603879789017,0.523577326929262,1.83429550736217,0.0517939819739126
"Bromus_hordeaceus",-0.154177026049043,-0.294323282995947,0.523577326929262,NA,0.24553987648437
"Bromus_sterilis",-0.146612179244454,-0.464111764006661,0.523577326929262,0.620585006981813,0.278809373521532
"Capsella_bursa-pastoris",-0.157203097411015,-0.024787366792149,0.221372481550915,-1.04529215040299,1.44842214133272
"Castanea_sativa",7.80883326428011,NA,NA,NA,-1.42772012156049
"Cerastium_fontanum",-0.157199796208559,-0.110519785284754,0.523577326929262,-0.378941287449073,-1.07003539323349
"Cerastium_glomeratum",-0.157332797638982,-0.366695910219729,0.389264062316663,NA,0.227926613347056
"Chenopodium_album",-0.156443260856395,1.90315636315974,0.372474904240088,-0.807309699348024,1.09021071302602
"Cirsium_arvense",-0.155540415784689,-0.149632731970321,0.523577326929262,0.335006065715846,-0.383733979239665
"Convolvulus_arvensis",-0.13982378169851,0.0320920357072326,0.523577326929262,1.76290077204568,-0.179694619259369
"Crepis_capillaris",-0.157090154146613,-0.366695910219729,0.355685746163513,1.19174288951375,-0.464861736720631
"Dactylis_glomerata",-0.15625721800787,-0.395185452364964,-0.752398686890425,0.477795536348829,-0.217208582305082
"Elymus_repens",-0.153470166249138,-0.301270617582055,0.299721885908266,0.668181497192817,-0.350202847277734
"Epilobium_ciliatum",-0.157303189618778,-0.447109940468376,-0.875519179451972,0.90616394824778,-1.18348287272306
"Epilobium_montanum",-0.157237174313354,0.653413502077391,-0.147988996133731,0.0494271244498781,-1.27272340595212
"Erigeron_canadensis",-0.15730437447909,-0.261008899035793,0.523577326929262,0.506353430475426,-0.45546799638074
"Erodium_cicutarium",-0.154736585024781,-0.366695910219729,0.523577326929262,-0.426537777660077,0.524835906233204
"Euphorbia_helioscopia",-0.154217934730051,0.0503082752125397,-0.28230226074633,0.335006065715846,-0.942376870665607
"Fallopia_convolvulus",-0.149752637605619,-0.0511665724821812,NA,-0.950099169981008,2.13828823054808
"Festuca_rubra",-0.155989685160186,-0.41207239871718,0.523577326929262,0.477795536348829,-0.276986929922631
