"","AccSpeciesID","AccSpeciesName","TraitID","TraitName","OriglName","OrigValueStr","OrigUnitStr","Replicates","StdValue","UnitName","Count"
"1",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.05","g/1000",NA,0.05,"mg",2
"2",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.0578947","g/1000",NA,0.0578947,"mg",1
"3",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.07","g/1000",NA,0.07,"mg",2
"4",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.084","g/1000",NA,0.084,"mg",1
"5",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.08868","g/1000",NA,0.08868,"mg",1
"6",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1","g/1000",NA,0.1,"mg",1
"7",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1008","g/1000",NA,0.1008,"mg",1
"8",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.105","g/1000",NA,0.105,"mg",1
"9",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1164","g/1000",NA,0.1164,"mg",1
"10",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.13","g/1000",NA,0.13,"mg",1
"11",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.13068","g/1000",NA,0.13068,"mg",1
"12",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1312","g/1000",NA,0.1312,"mg",1
"13",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.133","g/1000",NA,0.133,"mg",1
"14",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.134","g/1000",NA,0.134,"mg",1
"15",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.13664","g/1000",NA,0.13664,"mg",1
"16",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1468","g/1000",NA,0.1468,"mg",1
"17",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.15","g/1000",NA,0.15,"mg",1
"18",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.16","g/1000",NA,0.16,"mg",4
"19",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1664","g/1000",NA,0.1664,"mg",1
"20",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1692","g/1000",NA,0.1692,"mg",1
"21",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.1816","g/1000",NA,0.1816,"mg",1
"22",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.2","g/1000",NA,0.2,"mg",1
"23",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.2124","g/1000",NA,0.2124,"mg",1
"24",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.225","g/1000",NA,0.225,"mg",1
"25",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.2268","g/1000",NA,0.2268,"mg",1
"26",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.262","g/1000",NA,0.262,"mg",1
"27",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.32","g/1000",NA,0.32,"mg",1
"28",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","0.4","g/1000",NA,0.4,"mg",1
"29",909,"Achillea millefolium",26,"Seed dry mass","1000 Seed Weight (g)","1.1","g/1000",NA,1.1,"mg",1
"30",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.05","g / 1000 seeds",NA,0.05,"mg",2
"31",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.07","g / 1000 seeds",NA,0.07,"mg",1
"32",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.084","g / 1000 seeds",NA,0.084,"mg",1
"33",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.1","g / 1000 seeds",NA,0.1,"mg",1
"34",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.105","g / 1000 seeds",NA,0.105,"mg",1
"35",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.13","g / 1000 seeds",NA,0.13,"mg",1
"36",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.133","g / 1000 seeds",NA,0.133,"mg",1
"37",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.15","g / 1000 seeds",NA,0.15,"mg",1
"38",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.16","g / 1000 seeds",NA,0.16,"mg",4
"39",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.17","g / 1000 seeds",NA,0.17,"mg",2
"40",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.2","g / 1000 seeds",NA,0.2,"mg",1
"41",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.225","g / 1000 seeds",NA,0.225,"mg",1
"42",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.32","g / 1000 seeds",NA,0.32,"mg",1
"43",909,"Achillea millefolium",26,"Seed dry mass","1000SeedWeight","0.4","g / 1000 seeds",NA,0.4,"mg",2
