"","site","year","date","block","plot","month","collectors","Achillea_millefolium","Agrostis_gigantea","Anagallis_arvensis","Anchusa_arvensis","Apera_spica-venti","Aphanes_australis","Arabidopsis_thaliana","Arenaria_serpyllifolia","Arrhenatherum_elatius","Artemisia_vulgaris","Bromus_hordeaceus","Bromus_sterilis","Capsella_bursa-pastoris","Castanea_sativa","Cerastium_fontanum","Cerastium_glomeratum","Chenopodium_album","Cirsium_arvense","Convolvulus_arvensis","Crepis_capillaris","Dactylis_glomerata","Elymus_repens","Epilobium_ciliatum","Epilobium_montanum","Erigeron_canadensis","Erodium_cicutarium","Euphorbia_helioscopia","Fallopia_convolvulus","Festuca_rubra","Galinsoga_parviflora","Geranium_molle","Heracleum_sphondylium","Holcus_lanatus","Holcus_mollis","Hypericum_perforatum","Hypochaeris_radicata","Jacobaea_vulgaris","Lactuca_serriola","Lamium_amplexicaule","Lapsana_communis","Lolium_perenne","Matricaria_chamomilla","Medicago_lupulina","Myosotis_arvensis","Panicum_miliaceum","Papaver_dubium","Papaver_rhoeas","Persicaria_lapathifolia","Persicaria_maculosa","Phleum_bertolonii","Plantago_lanceolata","Polygonum_aviculare","Prunus_spinosa","Quercus_robur","Ranunculus_repens","Raphanus_raphanistrum","Rumex_acetosa","Rumex_acetosella","Rumex_crispus","Rumex_obtusifolius","Sisymbrium_officinale","Sonchus_asper","Sonchus_oleraceus","Spergula_arvensis","Stellaria_graminea","Trifolium_dubium","Trifolium_repens","Tripleurospermum_inodorum","Veronica_arvensis_","Veronica_chamaedrys","Veronica_persica","Vicia_cracca","Vicia_hirsuta","Vicia_sativa","Vicia_tetrasperma","Viola_arvensis","Vulpia_bromoides","Vulpia_myuros","tot_abun","spe_count"
"1","Pound Hill Disturbance ",2016,"Jul-16","a",1,"october","M_Crawley",0.00871839581517001,0.04359197907585,0,0,0,0,0,0,0,0.01743679163034,0.04359197907585,0,0,0,0,0,0,0.01743679163034,0,0.01743679163034,0,0,0.001743679163034,0,0,0,0,0,0,0,0,0.000871839581517001,0,0.741063644289451,0.000871839581517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871839581517001,0,0,0,0.001743679163034,0.000871839581517001,0,0,0,0,0.00871839581517001,0,0,0.03487358326068,0,0,0,0,0.00871839581517001,0,0,0,0,0.04359197907585,114.7,17
"2","Pound Hill Disturbance ",2016,"Jul-16","a",2,"may","M_Crawley",0,0.0552486187845304,0.00552486187845304,0.00552486187845304,0,0,0,0,0,0.0110497237569061,0.0276243093922652,0.220994475138122,0,0,0,0,0.0110497237569061,0.00552486187845304,0,0.0110497237569061,0,0,0,0,0,0.220994475138122,0,0.0828729281767956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276243093922652,0,0,0.0828729281767956,0,0,0.00552486187845304,0,0.193370165745856,0,0,0,0,0,0,0.0276243093922652,0,0.00552486187845304,0,0,0,0,0,181,17
"3","Pound Hill Disturbance ",2016,"Jul-16","a",3,"march","M_Crawley",0.0122549019607843,0.0919117647058824,0,0.275735294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612745098039216,0,0,0,0,0,0,0,0.0306372549019608,0,0,0,0,0,0.214460784313726,0,0.00612745098039216,0.000612745098039216,0,0,0,0,0,0.245098039215686,0,0,0,0,0,0,0,0.00612745098039216,0,0,0,0,0.0306372549019608,0,0.00612745098039216,0.0490196078431373,0,0,0.000612745098039216,0,0,0,0,0,0,0,0,0,0,0.00612745098039216,0,0,0.0183823529411765,0,0,163.2,16
"4","Pound Hill Disturbance ",2016,"Jul-16","b",4,"may","M_Crawley",0,0.0346020761245675,0.013840830449827,0.0069204152249135,0,0,0,0,0,0.0069204152249135,0.0069204152249135,0.380622837370242,0,0,0,0,0.00069204152249135,0.00069204152249135,0,0.027681660899654,0,0,0,0,0,0.242214532871972,0,0.027681660899654,0,0,0,0,0,0,0,0.00069204152249135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069204152249135,0,0,0.0346020761245675,0,0,0.00069204152249135,0,0.173010380622837,0,0,0,0,0,0,0.0346020761245675,0,0.00069204152249135,0,0,0,0,0,144.5,18
"5","Pound Hill Disturbance ",2016,"Jul-16","b",5,"march","M_Crawley",0.0294985250737463,0.147492625368732,0,0.23598820058997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589970501474926,0,0,0,0,0,0.00589970501474926,0,0.0117994100294985,0,0,0,0,0,0.23598820058997,0,0.000589970501474926,0,0,0,0,0,0,0.23598820058997,0,0,0.000589970501474926,0,0,0,0,0.000589970501474926,0,0,0,0,0,0,0,0.0589970501474926,0,0,0.00589970501474926,0,0,0,0,0,0.000589970501474926,0,0,0.0294985250737463,0,0,0,0,0,0,0,169.5,15
"6","Pound Hill Disturbance ",2016,"Jul-16","b",6,"october","M_Crawley",0.00642260757867694,0.0963391136801541,0.000642260757867694,0,0.000642260757867694,0.0642260757867694,0,0,0,0.00642260757867694,0.00642260757867694,0,0,0,0,0,0,0,0,0.0256904303147078,0,0,0,0,0.000642260757867694,0.00128452151573539,0,0,0,0,0,0,0,0.513808606294155,0,0,0,0,0,0,0,0,0.0963391136801541,0,0,0,0,0,0,0,0.0128452151573539,0,0,0,0,0,0,0,0.000642260757867694,0,0,0,0,0.00642260757867694,0,0,0,0.000642260757867694,0,0,0,0,0,0,0,0,0,0.160565189466924,155.7,17
"7","Pound Hill Disturbance ",2016,"Jul-16","c",7,"march","M_Crawley",0.0548696844993141,0.0685871056241426,0.000685871056241427,0.240054869684499,0,0,0,0,0,0,0,0,0.000685871056241427,0,0,0,0,0,0,0.000685871056241427,0.000685871056241427,0,0,0,0,0.00685871056241427,0,0.00685871056241427,0,0,0,0,0,0.240054869684499,0,0.000685871056241427,0,0,0,0,0,0,0.240054869684499,0,0,0,0,0,0,0,0.0137174211248285,0,0,0,0,0.0274348422496571,0,0.000685871056241427,0.0548696844993141,0,0,0.00685871056241427,0,0.0137174211248285,0,0,0,0.000685871056241427,0,0,0.000685871056241427,0,0.00685871056241427,0,0,0.0137174211248285,0,0,145.8,22
"8","Pound Hill Disturbance ",2016,"Jul-16","c",8,"october","M_Crawley",0.000670241286863271,0.134048257372654,0.00134048257372654,0.000670241286863271,0.0335120643431635,0.0134048257372654,0,0,0,0.00134048257372654,0.00670241286863271,0,0,0,0,0,0,0,0,0.0134048257372654,0,0,0.000670241286863271,0,0,0,0,0,0,0,0,0,0,0.603217158176944,0,0,0,0,0,0,0,0,0,0.000670241286863271,0,0.000670241286863271,0,0,0,0,0.0134048257372654,0,0,0,0,0,0,0.0335120643431635,0,0,0,0,0,0,0,0,0,0.00201072386058981,0.00670241286863271,0,0,0,0,0,0,0,0,0.134048257372654,149.2,18
"9","Pound Hill Disturbance ",2016,"Jul-16","c",9,"may","M_Crawley",0.000728862973760933,0.0364431486880466,0.0145772594752187,0.0145772594752187,0,0,0,0,0,0.000728862973760933,0.000728862973760933,0.473760932944606,0,0,0,0,0.00728862973760933,0.000728862973760933,0,0.00728862973760933,0,0,0,0,0,0.182215743440233,0,0.000728862973760933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000728862973760933,0,0.000728862973760933,0,0.000728862973760933,0.0021865889212828,0,0,0.000728862973760933,0,0.255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.2,18
"10","Pound Hill Disturbance ",2016,"Jul-16","d",10,"march","M_Crawley",0.0775193798449612,0.116279069767442,0,0.0387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0.000775193798449612,0,0,0.000775193798449612,0,0.000775193798449612,0,0,0,0.000775193798449612,0,0.00775193798449612,0,0,0,0,0,0.193798449612403,0,0,0,0,0,0,0,0,0.465116279069767,0,0,0.00155038759689922,0,0,0,0,0,0,0,0,0,0.00155038759689922,0,0,0.0775193798449612,0,0,0.00775193798449612,0,0,0,0,0,0.00155038759689922,0,0,0,0,0.00775193798449612,0,0,0,0,0,129,16
